2019-11-26,BE5613,17081.19
2019-11-26,YR3217,15983.94
2019-11-26,YR8837,15389.64
2019-11-26,BE1054,15197.49
2019-11-26,YR4098,15075.27
2019-11-26,YR6068,14739.27
2019-11-26,BE5092,14730.03
2019-11-26,YR8129,14596.26
2019-11-26,YR8558,14524.44
2019-11-26,YR5190,14378.91
2019-11-26,BE2494,14337.12
2019-11-26,BE4797,14097.51
2019-11-26,YR5698,13931.61
2019-11-26,YR6095,13863.99
2019-11-26,BE9667,13658.61
2019-11-26,BE9002,13599.39
2019-11-26,OJ5085,13573.80
2019-11-26,BE3466,13504.47
2019-11-26,GQ5324,13450.50
2019-11-26,XV5324,13450.50
2019-11-26,BE9628,13354.32
2019-11-26,BE3513,13276.83
2019-11-26,BE3684,13212.99
2019-11-26,OJ2536,13058.82
2019-11-26,XV1054,13026.42
2019-11-26,BE2612,12725.37
2019-11-26,BE9451,12719.07
2019-11-26,XV4868,12597.66
2019-11-26,OJ5865,12592.80
2019-11-26,BE2889,12470.85
2019-11-26,OJ9992,12458.88
2019-11-26,OJ8558,12449.52
2019-11-26,GQ8275,12366.00
2019-11-26,XV6314,12272.94
2019-11-26,YR2955,12258.54
2019-11-26,BE6167,12240.48
2019-11-26,XV3949,12175.56
2019-11-26,XV7687,12156.12
2019-11-26,GQ9387,12109.14
2019-11-26,YR6083,12084.45
2019-11-26,XV4797,12083.58
2019-11-26,OJ9732,12072.60
2019-11-26,BE5386,12010.95
2019-11-26,GQ9568,11988.36
2019-11-26,XV9568,11988.36
2019-11-26,OJ1343,11896.74
2019-11-26,GQ1780,11891.34
2019-11-26,XV1780,11891.34
2019-11-26,GQ6095,11883.42
2019-11-26,YR7220,11881.38
2019-11-26,YR4226,11865.21
2019-11-26,YR7896,11837.07
2019-11-26,OJ4468,11791.98
2019-11-26,GQ6177,11580.12
2019-11-26,XV6177,11580.12
2019-11-26,XV7397,11550.78
2019-11-26,OJ9269,11349.90
2019-11-26,YR4165,11320.89
2019-11-26,BE9225,11289.81
2019-11-26,OJ7306,11283.30
2019-11-26,BE6693,11263.77
2019-11-26,XV4304,11260.80
2019-11-26,BE3766,11249.91
2019-11-26,YR5986,11248.44
2019-11-26,GQ5488,11201.94
2019-11-26,XV5488,11201.94
2019-11-26,YR5005,11052.72
2019-11-26,OJ3183,10982.16
2019-11-26,OJ9922,10975.86
2019-11-26,GQ9784,10942.56
2019-11-26,XV9784,10942.56
2019-11-26,GQ8531,10854.90
2019-11-26,XV8531,10854.90
2019-11-26,GQ7785,10822.68
2019-11-26,XV7785,10822.68
2019-11-26,YR4591,10808.49
2019-11-26,XV2889,10689.30
2019-11-26,GQ4721,10679.76
2019-11-26,XV4721,10679.76
2019-11-26,GQ4211,10630.98
2019-11-26,XV4211,10630.98
2019-11-26,OJ7592,10607.04
2019-11-26,BE5249,10605.42
2019-11-26,YR1475,10520.16
2019-11-26,OJ2955,10507.32
2019-11-26,GQ8391,10490.22
2019-11-26,XV8391,10490.22
2019-11-26,GQ8870,10305.54
2019-11-26,XV8870,10305.54
2019-11-26,OJ4886,10282.86
2019-11-26,XV7837,10166.76
2019-11-26,GQ8207,10150.38
2019-11-26,GQ7896,10146.06
2019-11-26,XV6365,10134.00
2019-11-26,GQ1461,10070.46
2019-11-26,XV1461,10070.46
2019-11-26,OJ6529,9885.42
2019-11-26,OJ3977,9868.50
2019-11-26,GQ2163,9852.66
2019-11-26,XV2163,9852.66
2019-11-26,YR1845,9704.94
2019-11-26,XV6693,9654.66
2019-11-26,XV3766,9642.78
2019-11-26,XV4758,9597.06
2019-11-26,XV3375,9496.80
2019-11-26,GQ3360,9484.38
2019-11-26,XV3360,9484.38
2019-11-26,OJ5005,9473.76
2019-11-26,GQ3106,9399.24
2019-11-26,GQ3700,9397.98
2019-11-26,OJ9422,9285.30
2019-11-26,BE4691,9210.39
2019-11-26,GQ4201,9187.92
2019-11-26,YR1632,9109.80
2019-11-26,XV5249,9090.36
2019-11-26,YR1393,9079.35
2019-11-26,YR8834,8978.97
2019-11-26,GQ3170,8978.04
2019-11-26,YR8867,8802.15
2019-11-26,BE8164,8743.56
2019-11-26,YR2692,8686.23
2019-11-26,YR8473,8670.06
2019-11-26,YR4368,8614.62
2019-11-26,BE7495,8594.67
2019-11-26,YR5253,8557.71
2019-11-26,GQ7388,8410.86
2019-11-26,XV7388,8410.86
2019-11-26,OJ5020,8401.32
2019-11-26,BE1377,8238.51
2019-11-26,YR8737,8105.58
2019-11-26,BE2437,8021.58
2019-11-26,GQ5000,7998.30
2019-11-26,XV5000,7998.30
2019-11-26,OJ2470,7970.22
2019-11-26,XV3613,7958.16
2019-11-26,BE7565,7821.45
2019-11-26,YR8930,7817.88
2019-11-26,OJ1393,7782.30
2019-11-26,XV7679,7747.20
2019-11-26,GQ7679,7747.20
2019-11-26,OJ8445,7720.38
2019-11-26,BE4659,7556.43
2019-11-26,OJ1674,7552.08
2019-11-26,OJ8867,7544.70
2019-11-26,BE1512,7544.67
2019-11-26,OJ2461,7517.70
2019-11-26,GQ3587,7468.38
2019-11-26,YR6219,7384.23
2019-11-26,GQ4368,7383.96
2019-11-26,GQ1372,7327.26
2019-11-26,OJ2039,7251.66
2019-11-26,XV2437,6875.64
2019-11-26,OJ8079,6773.94
2019-11-26,GQ9524,6497.82
2019-11-26,OJ8807,5788.08
